Reference area,ISO,Country,TIME_PERIOD,OBS_VALUE
Cyprus,CYP,Cyprus,2000,20.07
Cyprus,CYP,Cyprus,2001,19.83
Cyprus,CYP,Cyprus,2002,19.71
Cyprus,CYP,Cyprus,2003,20.74
Cyprus,CYP,Cyprus,2004,19.07
Cyprus,CYP,Cyprus,2005,19.29
Cyprus,CYP,Cyprus,2006,22.41
Cyprus,CYP,Cyprus,2007,19.72
Cyprus,CYP,Cyprus,2008,19.52
Cyprus,CYP,Cyprus,2009,17.95
Cyprus,CYP,Cyprus,2010,18.29
Cyprus,CYP,Cyprus,2011,18.26
Cyprus,CYP,Cyprus,2012,16.67
Cyprus,CYP,Cyprus,2013,16.03
Cyprus,CYP,Cyprus,2014,15.92
Cyprus,CYP,Cyprus,2015,16.72
Cyprus,CYP,Cyprus,2016,14.32
Cyprus,CYP,Cyprus,2017,14.97
Cyprus,CYP,Cyprus,2018,15.1
Cyprus,CYP,Cyprus,2019,14.88
Cyprus,CYP,Cyprus,2020,13.41
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2000,37.05
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2001,36.46
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2002,40.31
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2003,43.38
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2004,38.37
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2005,39.2
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2006,40.77
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2007,33.39
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2008,33.37
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2009,34.86
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2010,35.43
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2011,39.62
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2012,35.66
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2013,33.86
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2014,32.63
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2015,33.92
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2016,30.47
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2017,31.04
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2018,32.56
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2019,26.77
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2020,26.65
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2000,38.48
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2001,40.15
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2002,38.99
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2003,41.25
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2004,39.46
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2005,39.73
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2006,40.33
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2007,39.59
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2008,39.69
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2009,43
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2010,35.38
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2011,38.4
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2012,37.05
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2013,45.36
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2014,43.49
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2015,42.03
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2016,38.16
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2017,38.72
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2018,33.8
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2019,30.77
Democratic People’s Republic of Korea,PRK,Democratic People’s Republic of Korea,2020,29.59
Turkmenistan,TKM,Turkmenistan,2000,17.22
Turkmenistan,TKM,Turkmenistan,2001,17.51
Turkmenistan,TKM,Turkmenistan,2002,17.07
Turkmenistan,TKM,Turkmenistan,2003,15.79
Turkmenistan,TKM,Turkmenistan,2004,15.71
Turkmenistan,TKM,Turkmenistan,2005,15.43
Turkmenistan,TKM,Turkmenistan,2006,16.54
Turkmenistan,TKM,Turkmenistan,2007,16.97
Turkmenistan,TKM,Turkmenistan,2008,17.5
Turkmenistan,TKM,Turkmenistan,2009,18.9
Turkmenistan,TKM,Turkmenistan,2010,19.79
Turkmenistan,TKM,Turkmenistan,2011,24.96
Turkmenistan,TKM,Turkmenistan,2012,24.97
Turkmenistan,TKM,Turkmenistan,2013,24.58
Turkmenistan,TKM,Turkmenistan,2014,23.25
Turkmenistan,TKM,Turkmenistan,2015,22.1
Turkmenistan,TKM,Turkmenistan,2016,21.86
Turkmenistan,TKM,Turkmenistan,2017,20.36
Turkmenistan,TKM,Turkmenistan,2018,20.66
Turkmenistan,TKM,Turkmenistan,2019,19.09
Turkmenistan,TKM,Turkmenistan,2020,18.4
Cambodia,KHM,Cambodia,2000,28.04
Cambodia,KHM,Cambodia,2001,26.96
Cambodia,KHM,Cambodia,2002,27.71
Cambodia,KHM,Cambodia,2003,27.37
Cambodia,KHM,Cambodia,2004,28.85
Cambodia,KHM,Cambodia,2005,28.47
Cambodia,KHM,Cambodia,2006,28.66
Cambodia,KHM,Cambodia,2007,28.9
Cambodia,KHM,Cambodia,2008,28.62
Cambodia,KHM,Cambodia,2009,26.78
Cambodia,KHM,Cambodia,2010,23.98
Cambodia,KHM,Cambodia,2011,20.84
Cambodia,KHM,Cambodia,2012,22.19
Cambodia,KHM,Cambodia,2013,24.93
Cambodia,KHM,Cambodia,2014,21.27
Cambodia,KHM,Cambodia,2015,20.85
Cambodia,KHM,Cambodia,2016,21.64
Cambodia,KHM,Cambodia,2017,19.97
Cambodia,KHM,Cambodia,2018,22.16
Cambodia,KHM,Cambodia,2019,22.07
Cambodia,KHM,Cambodia,2020,23.26
Moscow Oblast,RUS,Russia,2000,20.83
Moscow Oblast,RUS,Russia,2001,20.9
Moscow Oblast,RUS,Russia,2002,22.45
Moscow Oblast,RUS,Russia,2003,18.71
Moscow Oblast,RUS,Russia,2004,17.85
Moscow Oblast,RUS,Russia,2005,16.07
Moscow Oblast,RUS,Russia,2006,16.03
Moscow Oblast,RUS,Russia,2007,14.02
Moscow Oblast,RUS,Russia,2008,14.15
Moscow Oblast,RUS,Russia,2009,15.1
Moscow Oblast,RUS,Russia,2010,17.11
Moscow Oblast,RUS,Russia,2011,13.57
Moscow Oblast,RUS,Russia,2012,13.45
Moscow Oblast,RUS,Russia,2013,13.99
Moscow Oblast,RUS,Russia,2014,14.34
Moscow Oblast,RUS,Russia,2015,12.47
Moscow Oblast,RUS,Russia,2016,12.21
Moscow Oblast,RUS,Russia,2017,11.7
Moscow Oblast,RUS,Russia,2018,12.27
Moscow Oblast,RUS,Russia,2019,11.16
Moscow Oblast,RUS,Russia,2020,10.39
North Macedonia,MKD,North Macedonia,2000,41.08
North Macedonia,MKD,North Macedonia,2001,38.99
North Macedonia,MKD,North Macedonia,2002,42.42
North Macedonia,MKD,North Macedonia,2003,45.45
North Macedonia,MKD,North Macedonia,2004,40.22
North Macedonia,MKD,North Macedonia,2005,40.71
North Macedonia,MKD,North Macedonia,2006,41.73
North Macedonia,MKD,North Macedonia,2007,35.5
North Macedonia,MKD,North Macedonia,2008,35.75
North Macedonia,MKD,North Macedonia,2009,36.13
North Macedonia,MKD,North Macedonia,2010,36.61
North Macedonia,MKD,North Macedonia,2011,42.95
North Macedonia,MKD,North Macedonia,2012,38.38
North Macedonia,MKD,North Macedonia,2013,34.94
North Macedonia,MKD,North Macedonia,2014,36.06
North Macedonia,MKD,North Macedonia,2015,34.04
North Macedonia,MKD,North Macedonia,2016,32.07
North Macedonia,MKD,North Macedonia,2017,32.48
North Macedonia,MKD,North Macedonia,2018,33.06
North Macedonia,MKD,North Macedonia,2019,27.6
North Macedonia,MKD,North Macedonia,2020,27.86
Israel,ISR,Israel,2000,24.84
Israel,ISR,Israel,2001,24.28
Israel,ISR,Israel,2002,24.89
Israel,ISR,Israel,2003,26.91
Israel,ISR,Israel,2004,25.07
Israel,ISR,Israel,2005,24.47
Israel,ISR,Israel,2006,25.82
Israel,ISR,Israel,2007,25.14
Israel,ISR,Israel,2008,24.06
Israel,ISR,Israel,2009,23.55
Israel,ISR,Israel,2010,24.19
Israel,ISR,Israel,2011,24.05
Israel,ISR,Israel,2012,21.8
Israel,ISR,Israel,2013,22.34
Israel,ISR,Israel,2014,21.03
Israel,ISR,Israel,2015,21.95
Israel,ISR,Israel,2016,18.72
Israel,ISR,Israel,2017,19.86
Israel,ISR,Israel,2018,20.45
Israel,ISR,Israel,2019,19.49
Israel,ISR,Israel,2020,18.62
Latvia,LVA,Latvia,2000,22.88
Latvia,LVA,Latvia,2001,21.09
Latvia,LVA,Latvia,2002,24.59
Latvia,LVA,Latvia,2003,21.32
Latvia,LVA,Latvia,2004,18.21
Latvia,LVA,Latvia,2005,18.56
Latvia,LVA,Latvia,2006,18.29
Latvia,LVA,Latvia,2007,16.14
Latvia,LVA,Latvia,2008,15.79
Latvia,LVA,Latvia,2009,16.24
Latvia,LVA,Latvia,2010,18.12
Latvia,LVA,Latvia,2011,15.88
Latvia,LVA,Latvia,2012,15.3
Latvia,LVA,Latvia,2013,15.76
Latvia,LVA,Latvia,2014,16.45
Latvia,LVA,Latvia,2015,13.98
Latvia,LVA,Latvia,2016,12.89
Latvia,LVA,Latvia,2017,11.92
Latvia,LVA,Latvia,2018,14.56
Latvia,LVA,Latvia,2019,12.79
Latvia,LVA,Latvia,2020,11.81
Hong Kong (China),HKG,Hong Kong (China),2000,25.22
Hong Kong (China),HKG,Hong Kong (China),2001,25.88
Hong Kong (China),HKG,Hong Kong (China),2002,25.69
Hong Kong (China),HKG,Hong Kong (China),2003,26.35
Hong Kong (China),HKG,Hong Kong (China),2004,26.6
Hong Kong (China),HKG,Hong Kong (China),2005,27.19
Hong Kong (China),HKG,Hong Kong (China),2006,26.65
Hong Kong (China),HKG,Hong Kong (China),2007,26.86
Hong Kong (China),HKG,Hong Kong (China),2008,26.86
Hong Kong (China),HKG,Hong Kong (China),2009,28.44
Hong Kong (China),HKG,Hong Kong (China),2010,23.55
Hong Kong (China),HKG,Hong Kong (China),2011,25.81
Hong Kong (China),HKG,Hong Kong (China),2012,23.85
Hong Kong (China),HKG,Hong Kong (China),2013,28.71
Hong Kong (China),HKG,Hong Kong (China),2014,27.52
Hong Kong (China),HKG,Hong Kong (China),2015,25.48
Hong Kong (China),HKG,Hong Kong (China),2016,23.51
Hong Kong (China),HKG,Hong Kong (China),2017,23.53
Hong Kong (China),HKG,Hong Kong (China),2018,20.37
Hong Kong (China),HKG,Hong Kong (China),2019,19.32
Hong Kong (China),HKG,Hong Kong (China),2020,17.72
Liechtenstein,LIE,Liechtenstein,2000,14.67
Liechtenstein,LIE,Liechtenstein,2001,15.41
Liechtenstein,LIE,Liechtenstein,2002,14.86
Liechtenstein,LIE,Liechtenstein,2003,14.84
Liechtenstein,LIE,Liechtenstein,2004,12.7
Liechtenstein,LIE,Liechtenstein,2005,13.09
Liechtenstein,LIE,Liechtenstein,2006,13.88
Liechtenstein,LIE,Liechtenstein,2007,12.1
Liechtenstein,LIE,Liechtenstein,2008,11.85
